Chapter,Card,Stage,Score,Empathy,Passion,Stamina,Wisdom,Item
1,1,3,2595,30,30,150,200,깡충깡충
1,1,5,3194,150,30,200,30,깡충깡충
1,1,7,3793,200,150,30,30,참 잘했어요
1,1,9,4391,30,30,200,150,깡충깡충
1,1,11,5203,200,150,30,30,닥터 홉

2,2,2,11176,10,200,30,170,깡충깡충
2,2,4,11411,30,10,200,170,참 잘했어요
2,2,6,11644,200,170,10,30,참 잘했어요
2,2,10,12058,170,30,10,200,참 잘했어요
2,2,12,12291,170,200,30,10,닥터 홉

3,3,3,19929,20,20,200,180,닥터 홉
3,3,5,20286,200,20,180,20,닥터 홉
3,3,7,20643,20,20,180,200,참 잘했어요
3,3,9,21000,20,180,200,20,닥터 홉
3,3,11,21357,180,200,20,20,조별과제

4,3,2,22673,10,20,180,200,참 잘했어요
4,3,4,23047,180,10,200,20,닥터 홉
4,3,7,23579,20,200,180,10,조별과제
4,3,9,23952,10,180,20,200,선택과 집중
4,3,11,24325,200,20,10,180,조별과제

5,4,3,35469,10,200,200,10,선택과 집중
5,4,6,36229,200,200,10,10,조별과제
5,4,8,36755,200,10,200,10,선택과 집중
5,4,10,37279,10,200,10,200,조별과제
5,4,12,37804,10,10,200,200,선택과 집중

6,4,2,40894,20,200,5,200,조별과제
6,4,4,41459,200,20,200,5,선택과 집중
6,4,6,42024,200,200,5,20,흰가운 천사
6,4,9,42844,5,200,20,200,선택과 집중
6,4,11,43410,200,5,20,200,흰가운 천사
