Chapter,Card,Stage,Score,Empathy,Passion,Stamina,Wisdom,Item
1,1,2,2554,30,150,200,30,여기여기
1,1,5,3194,30,150,30,200,여기여기
1,1,7,3793,200,30,150,30,검도 꿈나무
1,1,9,4391,30,200,30,150,여기여기
1,1,11,5203,150,30,200,30,사소한 고민

2,2,1,11086,10,200,170,30,여기여기
2,2,4,11967,30,170,30,200,검도 꿈나무
2,2,7,11734,10,30,200,170,검도 꿈나무
2,2,9,11968,200,30,170,10,검도 꿈나무
2,2,11,12201,30,200,170,10,사소한 고민

3,3,1,19626,20,180,20,200,사소한 고민
3,3,3,19984,200,20,20,180,사소한 고민
3,3,5,20341,180,20,200,20,검도 꿈나무
3,3,9,21000,200,20,20,180,사소한 고민
3,3,11,21357,20,20,180,200,비밀 레시피

4,3,2,22673,180,20,200,10,검도 꿈나무
4,3,4,23047,10,200,180,20,사소한 고민
4,3,7,23579,180,10,20,200,비밀 레시피
4,3,9,23952,20,200,10,180,귀여운 파티시에
4,3,11,24325,200,10,20,180,비밀 레시피

5,4,1,34998,200,200,10,10,귀여운 파티시에
5,4,3,35524,200,10,200,10,비밀 레시피
5,4,6,36284,10,200,10,200,귀여운 파티시에
5,4,8,36809,10,200,200,10,비밀 레시피
5,4,11,37569,200,10,10,200,귀여운 파티시에

6,4,2,40894,200,200,5,20,비밀 레시피
6,4,5,41714,200,5,200,20,귀여운 파티시에
6,4,7,42279,5,200,20,200,세계 최고 검객
6,4,9,42844,5,20,200,200,귀여운 파티시에
6,4,11,43410,200,200,5,20,세계 최고 검객
