Chapter,Card,Stage,Score,Empathy,Passion,Stamina,Wisdom,Item
1,1,2,2554,200,30,30,150,안경 미남
1,1,4,3153,30,200,30,150,안경 미남
1,1,7,3793,150,30,200,30,미모 열일
1,1,9,4391,30,150,30,200,안경 미남
1,1,12,5244,30,200,150,30,방긋 미소

2,2,2,11176,30,170,10,200,안경 미남
2,2,5,11501,10,30,170,200,미모 열일
2,2,7,11734,30,200,10,170,미모 열일
2,2,9,11968,170,10,30,200,미모 열일
2,2,11,12201,200,30,170,10,방긋 미소

3,3,1,19626,200,20,20,180,방긋 미소
3,3,3,19984,20,200,180,20,방긋 미소
3,3,5,20341,200,180,20,20,미모 열일
3,3,7,20697,180,20,200,20,방긋 미소
3,3,10,21206,20,180,200,20,너무 달콤해

4,3,1,22513,200,20,180,10,미모 열일
4,3,4,23047,180,200,10,20,방긋 미소
4,3,6,23419,180,20,200,10,너무 달콤해
4,3,9,23952,20,10,180,200,언더 커버
4,3,12,24485,200,180,10,20,너무 달콤해

5,4,2,35233,10,10,200,200,언더 커버
5,4,4,35759,10,200,200,10,너무 달콤해
5,4,6,36284,10,200,10,200,언더 커버
5,4,8,36809,10,10,200,200,너무 달콤해
5,4,10,37334,10,200,200,10,언더 커버

6,4,1,40639,200,20,5,200,너무 달콤해
6,4,3,41204,5,200,20,200,언더 커버
6,4,5,41769,200,200,5,20,잘부탁드립니다
6,4,7,42334,200,5,20,200,언더 커버
6,4,10,43155,200,20,200,5,잘부탁드립니다
