Chapter,Card,Stage,Score,Empathy,Passion,Stamina,Wisdom,Item
1,1,3,2595,150,30,200,30,스트레칭
1,1,5,3194,200,150,30,30,스트레칭
1,1,7,3793,30,30,150,200,셜록 남준
1,1,9,4391,30,200,30,150,스트레칭
1,1,11,5203,150,30,200,30,트렌치 코트

2,2,2,11176,200,170,10,30,스트레칭
2,2,4,11411,30,10,170,200,셜록 남준
2,2,6,11644,10,170,200,30,셜록 남준
2,2,9,11968,30,200,10,170,셜록 남준
2,2,11,12201,30,10,170,200,트렌치 코트

3,3,2,19777,200,20,180,20,트렌치 코트
3,3,4,20135,20,200,180,20,트렌치 코트
3,3,6,20492,180,20,20,200,셜록 남준
3,3,8,20849,20,200,20,180,트렌치 코트
3,3,11,21357,20,180,200,20,보조개 미남

4,3,2,22673,180,200,20,10,셜록 남준
4,3,4,23047,180,20,10,200,트렌치 코트
4,3,6,23419,20,180,200,10,보조개 미남
4,3,9,23952,10,200,20,180,비 온 뒤 맑음
4,3,11,24325,200,10,180,20,보조개 미남

5,4,1,34998,10,10,200,200,비 온 뒤 맑음
5,4,3,35524,200,10,10,200,보조개 미남
5,4,5,36049,10,200,10,200,비 온 뒤 맑음
5,4,7,36573,10,200,200,10,보조개 미남
5,4,10,37334,200,10,10,200,비 온 뒤 맑음

6,4,2,40894,200,5,200,20,보조개 미남
6,4,5,41714,5,200,20,200,비 온 뒤 맑음
6,4,7,42279,200,200,5,20,프로페셔널
6,4,9,42844,200,20,5,200,비 온 뒤 맑음
6,4,11,43410,200,20,200,5,프로페셔널
