Chapter,Card,Stage,Score,Empathy,Passion,Stamina,Wisdom,Item
1,1,2,2554,30,30,150,200,안경 선배
1,1,5,3194,200,30,30,150,안경 선배
1,1,8,3834,30,200,150,30,피아니스트
1,1,10,4432,200,30,30,150,안경 선배
1,1,12,5244,150,30,200,30,가을 편지

2,2,3,11267,200,170,10,30,안경 선배
2,2,5,11501,10,200,30,170,피아니스트
2,2,7,11734,170,30,10,200,피아니스트
2,2,9,11968,30,170,200,10,피아니스트
2,2,11,12201,200,10,30,170,가을 편지

3,3,1,19626,20,200,180,20,가을 편지
3,3,3,19984,180,20,20,200,가을 편지
3,3,6,20492,20,200,20,180,피아니스트
3,3,8,20849,200,20,180,20,가을 편지
3,3,10,21206,180,20,20,200,슈가 래빗

4,3,1,22513,180,200,20,10,
4,3,5,23207,10,20,200,180,
4,3,7,23579,20,200,180,10,
4,3,9,23952,200,10,180,20,
4,3,12,24485,20,180,10,200,
